sex,age,race,juv_fel_count,juv_misd_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
Female,28,Caucasian,0,0,7,F,Felony Petit Theft,0
Male,38,African-American,0,0,2,F,Driving While License Revoked,1
Female,28,African-American,0,0,1,F,arrest case no charge,1
Male,56,Caucasian,0,0,7,F,Felony Driving While Lic Suspd,0
Male,38,African-American,0,0,15,F,Possession of Cocaine,1
Male,28,African-American,0,0,2,M,Possess Cannabis/20 Grams Or Less,1
Male,45,African-American,0,0,3,F,arrest case no charge,1
Male,28,Hispanic,0,0,0,M,DUI Property Damage/Injury,1
Male,61,Caucasian,0,0,1,F,arrest case no charge,1
Female,51,Caucasian,0,0,0,M,Driving Under The Influence,0
Male,51,Caucasian,0,0,0,M,Battery,1
Male,36,Other,0,0,1,M,Possess Cannabis/20 Grams Or Less,0
Male,37,Caucasian,0,0,4,F,arrest case no charge,0
Female,30,African-American,0,0,2,F,Grand Theft in the 3rd Degree,1
Female,41,African-American,0,0,5,M,Battery,1
Male,27,African-American,0,0,11,F,Robbery / No Weapon,0
Male,37,African-American,0,0,0,M,Battery,1
Male,33,Other,0,0,4,F,Aggravated Assault w/Firearm,0
Male,54,African-American,0,0,11,F,Grand Theft (Motor Vehicle),1
Male,23,African-American,0,0,2,F,Robbery / Weapon,1
Female,26,African-American,0,0,2,F,arrest case no charge,0
Male,41,African-American,0,0,0,M,Battery,1
Male,52,Caucasian,0,0,0,F,Burglary With Assault/battery,1
Male,43,Caucasian,0,0,13,F,Driving While License Revoked,0
Male,52,African-American,0,0,0,F,Uttering a Forged Instrument,1
Male,28,Caucasian,0,0,1,F,arrest case no charge,1
Male,30,African-American,0,0,11,M,Battery,0
Male,28,Caucasian,0,0,1,F,Criminal Mischief,1
Male,22,African-American,0,0,0,F,Pos Cannabis W/Intent Sel/Del,1
Male,30,African-American,0,0,4,F,Driving While License Revoked,1
Male,25,Hispanic,0,0,4,F,Possession of Cannabis,1
Male,31,Caucasian,0,0,0,F,Burglary Unoccupied Dwelling,0
Male,37,Caucasian,0,0,0,F,Grand Theft in the 3rd Degree,0
Male,32,African-American,0,1,14,F,Aggravated Battery / Pregnant,1
Male,26,African-American,0,1,4,M,Possess Cannabis/20 Grams Or Less,1
Male,53,Caucasian,0,0,1,M,Battery,1
Male,28,African-American,0,0,25,F,arrest case no charge,0
Male,44,Caucasian,0,0,8,M,Battery,0
Male,25,African-American,0,0,0,F,Grand Theft in the 3rd Degree,1
Female,37,Other,0,0,0,M,Battery,1
Female,40,Other,0,0,3,F,Driving While License Revoked,1
Male,36,Caucasian,0,0,8,F,Felony Driving While Lic Suspd,0
Male,30,Caucasian,0,0,4,F,False Imprisonment,1
Male,22,African-American,0,0,3,M,Prowling/Loitering,0
Female,24,Caucasian,0,0,1,M,Battery,0
Male,27,African-American,0,0,3,M,Viol Prot Injunc Repeat Viol,0
Female,31,Hispanic,0,0,0,M,Battery,1
Male,23,Hispanic,0,0,1,F,arrest case no charge,0
Female,23,Caucasian,0,0,5,F,arrest case no charge,0
Male,24,Hispanic,0,0,0,M,Possess Cannabis/20 Grams Or Less,1
Male,29,African-American,0,0,1,M,Battery,1
Male,20,African-American,0,0,1,F,Carrying Concealed Firearm,0
Male,30,African-American,0,0,2,F,Carrying Concealed Firearm,0
Male,27,African-American,0,0,4,F,arrest case no charge,1
Male,31,Caucasian,0,0,2,M,arrest case no charge,1
Female,37,African-American,0,0,2,F,arrest case no charge,1
Male,20,African-American,0,0,0,F,Possession Burglary Tools,1
Male,22,Hispanic,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1
Female,52,African-American,0,0,0,F,Burglary Conveyance Unoccup,1
Female,23,African-American,0,0,0,F,Carrying Concealed Firearm,0
Female,48,African-American,0,0,0,F,Aggravated Assault W/Dead Weap,1
Male,66,African-American,0,0,8,F,Deliver Cocaine,0
Male,25,Caucasian,0,0,0,F,"Deliver 3,4 Methylenediox",1
Male,27,Caucasian,0,0,0,F,Grand Theft in the 3rd Degree,0
Male,30,African-American,0,0,11,F,Unauth Poss ID Card or DL,0
Male,22,African-American,0,1,3,M,Battery,0
Female,22,Caucasian,0,0,1,F,Pos Cannabis W/Intent Sel/Del,1
Male,35,African-American,0,0,2,F,arrest case no charge,1
Male,32,Caucasian,0,0,2,F,arrest case no charge,1
Female,41,African-American,0,0,2,M,Battery on Law Enforc Officer,1
Female,25,Other,0,0,0,F,Aggravated Assault W/Dead Weap,1
Male,44,African-American,0,0,24,M,Opert With Susp DL 2nd Offens,1
Male,52,African-American,0,0,3,F,Possession of Cocaine,0
Male,43,African-American,0,0,0,F,Felony Battery (Dom Strang),1
Male,37,Caucasian,0,0,3,F,arrest case no charge,1
Male,28,African-American,0,0,3,M,Possess Cannabis/20 Grams Or Less,0
Male,70,Caucasian,0,0,1,M,Battery,1
Male,54,Caucasian,0,0,6,F,Possession of Cocaine,0
Male,46,Caucasian,0,0,3,F,arrest case no charge,1
Male,21,African-American,0,0,0,M,Petit Theft,0
Male,26,African-American,0,0,1,M,Battery,0
Male,38,Hispanic,0,0,3,F,Crim Use of Personal ID Info,0
Male,34,Caucasian,0,0,5,M,Battery,1
Male,19,African-American,0,0,1,F,Grand Theft in the 3rd Degree,0
Male,34,African-American,0,0,5,M,Driving License Suspended,1
Male,23,Caucasian,0,0,0,F,Aggravated Assault W/Dead Weap,0
Male,34,African-American,0,0,5,F,Possession of Oxycodone,0
Male,30,African-American,0,0,2,F,arrest case no charge,1
Male,39,African-American,0,0,6,F,Aggravated Battery / Pregnant,0
Male,24,Other,0,0,0,F,Failure To Return Hired Vehicle,1
Male,33,Caucasian,0,0,1,M,Driving Under The Influence,0
Female,21,African-American,0,0,0,M,Battery,1
Male,21,African-American,0,0,1,F,Attempted Robbery  No Weapon,1
Male,23,African-American,0,0,4,M,Possess Cannabis/20 Grams Or Less,0
Male,62,Caucasian,0,0,0,F,False Imprisonment,1
Male,27,African-American,1,0,4,M,Possess Cannabis/20 Grams Or Less,0
Male,37,Caucasian,0,0,5,F,Battery on Law Enforc Officer,1
Male,43,Other,0,0,2,F,Grand Theft in the 3rd Degree,0
Female,32,African-American,0,0,5,F,Aggrav Battery w/Deadly Weapon,1
Male,23,Hispanic,0,0,0,F,Burglary Conveyance Unoccup,1
Male,27,African-American,0,0,0,M,Battery,1
Male,44,Caucasian,0,0,0,M,Battery,0
Male,28,Caucasian,0,0,3,M,Battery,0
Female,42,Caucasian,0,0,0,F,Possession of Cocaine,1
Male,24,Other,0,1,9,F,Resist Officer w/Violence,0
Male,27,African-American,0,0,0,F,Aggrav Battery w/Deadly Weapon,1
Male,20,African-American,0,0,0,F,Grand Theft (Motor Vehicle),0
Female,51,Caucasian,0,0,0,M,Battery on Law Enforc Officer,1
Male,29,African-American,0,0,7,F,arrest case no charge,1
Male,20,African-American,0,0,0,F,Grand Theft in the 3rd Degree,0
Male,53,Caucasian,0,0,6,F,arrest case no charge,1
Male,27,Caucasian,0,0,8,F,arrest case no charge,1
Male,24,African-American,0,1,2,F,Burglary Structure Unoccup,0
Male,53,Caucasian,0,0,36,F,Corrupt Public Servant,0
Male,28,Caucasian,0,0,2,M,Battery,0
Male,45,African-American,0,0,1,F,Crim Use of Personal ID Info,1
Male,21,Hispanic,0,1,3,F,Grand Theft in the 3rd Degree,1
Female,36,African-American,0,0,0,F,Aggrav Battery w/Deadly Weapon,1
Female,25,Caucasian,0,0,2,M,Petit Theft,0
Female,23,Hispanic,0,0,1,M,Operating W/O Valid License,1
Male,28,Caucasian,0,0,1,F,Pos Cannabis W/Intent Sel/Del,1
Female,21,African-American,0,0,0,F,Robbery Sudd Snatch No Weapon,0
Male,36,Caucasian,0,0,0,M,Viol Injunct Domestic Violence,1
Male,24,African-American,0,0,0,F,Grand Theft in the 3rd Degree,1
Male,28,African-American,0,0,3,F,arrest case no charge,0
Male,30,Other,0,0,1,F,arrest case no charge,0
Male,29,African-American,0,0,0,F,Aggravated Assault W/Dead Weap,1
Female,30,Caucasian,0,0,0,M,Battery,1
Male,51,Hispanic,0,0,1,M,Assault,1
Male,33,Other,0,0,3,F,Felony Battery (Dom Strang),1
Female,25,African-American,0,0,2,F,arrest case no charge,1
Male,32,African-American,0,1,12,F,arrest case no charge,0
Male,23,African-American,0,0,1,F,Grand Theft in the 3rd Degree,1
Male,47,African-American,0,0,3,F,Possession Burglary Tools,1
Female,32,Hispanic,0,0,1,F,Possession of Cocaine,0
Male,19,African-American,0,2,2,F,Poss Pyrrolidinovalerophenone,0
Male,27,Hispanic,0,0,0,M,Battery,1
Male,39,Other,0,0,0,M,Battery,1
Female,21,Caucasian,0,0,0,F,Possession of Cocaine,1
Male,69,Caucasian,0,0,0,M,Aggravated Assault W/dead Weap,1
Male,21,Caucasian,0,0,2,F,arrest case no charge,1
Male,26,African-American,0,0,6,M,Battery,0
Male,22,Caucasian,0,0,0,F,Possession of Cocaine,1
Female,23,African-American,0,0,0,F,Driving While License Revoked,0
Male,49,African-American,0,0,3,F,Grand Theft (Motor Vehicle),1
Male,29,African-American,0,0,2,M,Battery,1
Female,60,Caucasian,0,0,0,M,Battery,1
Male,23,African-American,2,0,3,F,"Poss3,4 Methylenedioxymethcath",0
Male,34,Hispanic,0,0,2,M,arrest case no charge,0
Female,20,Other,1,0,1,F,arrest case no charge,1
Male,36,Hispanic,0,0,1,F,Felony/Driving Under Influence,1
Male,30,Caucasian,0,0,0,F,Possession of Cocaine,1
Male,21,African-American,0,1,1,F,Grand Theft in the 3rd Degree,1
Male,22,Caucasian,0,0,2,M,Possess Cannabis/20 Grams Or Less,0
Male,57,African-American,0,0,18,F,arrest case no charge,1
Male,21,African-American,0,0,4,F,arrest case no charge,0
Male,21,African-American,0,0,0,F,Burglary Structure Unoccup,0
Male,34,Caucasian,0,0,1,M,Battery,1
Female,50,Caucasian,0,0,1,M,Battery,0
Male,40,Caucasian,0,0,0,F,arrest case no charge,0
Male,25,African-American,0,0,7,F,Tamper With Witness/Victim/CI,0
Female,53,Caucasian,0,0,1,M,Battery,1
Female,24,African-American,0,0,0,F,Aggravated Assault W/Dead Weap,1
Male,42,African-American,0,0,1,F,arrest case no charge,1
Male,28,African-American,0,0,1,M,Battery,1
Male,24,Caucasian,0,0,1,M,Disorderly Intoxication,1
Male,26,African-American,1,1,6,F,Robbery / No Weapon,0
Male,22,African-American,0,0,4,F,Grand Theft in the 3rd Degree,0
Male,21,Caucasian,0,0,3,M,arrest case no charge,1
Male,37,African-American,0,0,23,F,Battery on Law Enforc Officer,0
Male,35,African-American,0,0,2,F,Possession of Cannabis,1
Male,53,African-American,0,0,2,F,Felony Driving While Lic Suspd,1
Male,60,African-American,0,0,1,F,arrest case no charge,1
Male,29,African-American,0,0,7,F,Possession of Cocaine,1
Male,48,Caucasian,1,0,23,F,Felony Petit Theft,0
Female,52,Caucasian,0,0,0,M,Battery,1
Male,27,African-American,0,0,12,F,Driving While License Revoked,0
Male,28,African-American,0,0,5,F,arrest case no charge,1
Male,33,Caucasian,0,0,3,M,Battery,1
Female,28,Hispanic,0,0,0,F,arrest case no charge,1
Male,47,Caucasian,0,0,5,F,Possession of Cocaine,0
Male,29,African-American,1,0,2,F,Aggravated Battery / Pregnant,1
Male,22,African-American,0,0,0,M,Unlaw Use False Name/Identity,0
Male,26,African-American,0,0,6,F,Poss Cocaine/Intent To Del/Sel,1
Male,25,Caucasian,0,0,0,F,Resist Officer w/Violence,1
Male,68,Caucasian,0,0,2,F,Aggravated Assault W/dead Weap,1
Male,56,African-American,0,0,5,F,Driving While License Revoked,1
Male,27,African-American,0,0,9,F,Aggravated Battery / Pregnant,0
Male,52,Caucasian,0,0,4,F,Grand Theft in the 3rd Degree,0
Male,32,African-American,0,0,3,F,Battery on Law Enforc Officer,1
Male,60,Other,0,0,4,F,arrest case no charge,1
Male,23,Hispanic,0,0,1,M,Exposes Culpable Negligence,1
Female,39,Caucasian,0,0,0,M,Disorderly Intoxication,1
Male,56,Caucasian,0,0,0,M,Battery,1
Female,22,African-American,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1
Male,53,African-American,0,0,11,F,arrest case no charge,1
Male,25,Caucasian,0,0,0,M,Driving Under The Influence,0
Male,21,Hispanic,0,0,0,M,Battery,1
Male,22,Caucasian,0,0,0,F,Leaving the Scene of Accident,1
Female,58,Caucasian,0,0,2,M,DUI Property Damage/Injury,1
Male,31,African-American,0,0,7,M,Aggravated Battery / Pregnant,0
Male,22,Caucasian,0,0,1,F,False Ownership Info/Pawn Item,0
Male,28,African-American,0,0,8,F,Uttering a Forged Instrument,0
Male,42,Other,0,0,1,F,arrest case no charge,1
Male,20,African-American,0,0,0,F,Grand Theft (Motor Vehicle),0
Male,29,Caucasian,0,0,0,M,Battery,0
Male,29,African-American,0,0,8,F,arrest case no charge,1
Male,58,African-American,0,0,21,M,arrest case no charge,0
Male,22,African-American,0,0,3,F,Grand Theft in the 3rd Degree,1
Male,48,Hispanic,0,0,1,M,Operating W/O Valid License,0
Male,37,Caucasian,0,0,0,F,Crimin Mischief Damage $1000+,1
Male,57,African-American,0,0,1,F,Felony Petit Theft,0
Male,27,Caucasian,0,0,3,M,Fleeing or Eluding a LEO,1
Male,26,African-American,0,0,3,F,Burglary Unoccupied Dwelling,1
Male,24,Caucasian,0,1,3,F,"Poss3,4 Methylenedioxymethcath",0
Male,33,Caucasian,0,0,0,F,Aggravated Battery / Pregnant,1
Male,29,African-American,0,0,2,F,arrest case no charge,1
Female,24,African-American,0,0,3,F,Grand Theft in the 3rd Degree,0
Male,19,Caucasian,0,0,1,F,Felony Battery (Dom Strang),0
Male,36,Caucasian,0,0,2,M,Battery,1
Female,24,Caucasian,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1
Male,34,Caucasian,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1
Male,25,Hispanic,0,0,2,F,arrest case no charge,0
Male,20,African-American,1,0,1,F,arrest case no charge,0
Male,28,Hispanic,0,0,2,M,arrest case no charge,0
Male,24,African-American,0,0,1,M,Battery,0
Male,61,Caucasian,0,0,4,F,arrest case no charge,1
Female,50,African-American,0,0,3,F,Aggravated Assault W/Dead Weap,1
Male,30,African-American,0,0,1,M,Battery,1
Male,38,African-American,0,0,5,F,Possession of Cannabis,1
Male,24,Caucasian,0,0,0,M,Battery,1
Male,45,African-American,0,0,16,F,arrest case no charge,1
Female,46,African-American,0,0,2,F,Grand Theft in the 3rd Degree,0
Male,41,Caucasian,0,0,0,M,Battery,0
Male,20,Other,0,0,0,F,Possession of Cocaine,0
Male,27,African-American,0,0,13,M,Possess Cannabis/20 Grams Or Less,0
Female,51,African-American,0,0,16,F,Possession of Cocaine,1
Male,26,African-American,0,0,1,M,Battery,0
Male,52,Caucasian,0,0,6,F,Grand Theft in the 3rd Degree,0
Male,28,Caucasian,0,0,1,F,Agg Battery Grt/Bod/Harm,0
Female,34,Native American,0,0,4,F,arrest case no charge,0
Male,55,African-American,0,0,5,F,Felony Petit Theft,0
Male,26,African-American,1,1,10,F,Aggravated Battery,0
Male,28,African-American,0,0,5,F,Possession Of Alprazolam,1
Male,63,Caucasian,0,0,2,F,Felony DUI (level 3),1
Male,42,African-American,0,0,0,F,Aggravated Assault w/Firearm,1
Male,23,African-American,1,2,6,F,Driving While License Revoked,1
Male,54,African-American,0,0,28,F,Possession of Cocaine,0
Male,35,African-American,0,0,8,F,Felony Battery w/Prior Convict,0
Female,24,African-American,1,0,6,F,arrest case no charge,0
Male,54,African-American,0,0,2,M,Battery,1
Male,58,African-American,0,0,12,M,DUI Level 0.15 Or Minor In Veh,0
Male,23,Caucasian,0,0,1,M,Resist/Obstruct W/O Violence,0
Male,35,African-American,0,0,1,M,Battery,1
Male,20,African-American,0,0,1,F,Fraudulent Use of Credit Card,0
Male,51,Caucasian,0,0,0,F,Felony Battery (Dom Strang),1
Male,24,Hispanic,0,0,0,F,"Poss 3,4 MDMA (Ecstasy)",1
