,local_surrogate,representation,Sex,Age,Nationality,Highest_education_level_completed,Ethnicity_simplified,QT.1,QT.2,QT.3,QT.4,trust,Duration_in_seconds,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,understanding,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,satisfaction,b_precision_understanding,b_recall_understanding,b_top_understanding,b_trust,b_ord_trust,increased_trust_after_xai,perceived_trust_in_xai,perceived_understanding_in_xai,time,domain
10,3,2,Female,20,Nigeria,2,Black,3,4,4,5,4.0,932.0,2,4,1,4,2,4,3,4,3.0,3,4,2,2,2,4,2,4,2.875,0.28253968253968254,0.6749999999999999,0.5833333333333333,0.6666666666666666,0.25,0.0,3.5,3.0,76.179,Obesity
11,3,2,Male,21,Poland,0,White,5,6,2,3,4.0,993.0,2,2,3,4,4,5,4,4,3.5,5,5,4,3,4,4,1,1,3.375,0.42361111111111105,0.4888888888888889,0.49999999999999994,0.3333333333333333,0.25,-0.25,3.0,3.25,52.56125,Obesity
12,3,2,Male,36,United Kingdom,0,White,1,6,3,2,3.0,943.0,3,3,1,1,4,2,2,4,2.5,4,1,1,1,1,1,2,4,1.875,0.34027777777777773,0.6097222222222223,0.5,0.0,0.0,0.25,2.25,2.25,51.420500000000004,Obesity
13,3,2,Female,41,South Africa,2,Black,4,3,4,4,3.75,1328.0,3,3,1,4,2,2,3,2,2.5,3,3,3,2,2,2,2,2,2.375,0.1388888888888889,0.3111111111111111,0.25,0.5,0.75,0.25,4.0,3.75,169.38350000000003,Obesity
14,3,2,Male,24,South Africa,2,Black,4,5,4,4,4.25,1291.0,4,4,3,4,4,4,4,4,3.875,4,3,4,3,2,4,3,4,3.375,0.35416666666666663,0.5027777777777779,0.49999999999999994,0.5,0.25,0.5,4.25,4.5,63.25025,Obesity
15,3,2,Female,37,South Africa,3,Black,7,7,7,7,7.0,1286.0,5,5,5,5,5,5,5,5,5.0,5,5,5,5,5,5,5,4,4.875,0.29166666666666663,0.4347222222222222,0.41666666666666663,1.0,0.5,0.0,4.5,4.5,51.002500000000005,Obesity
16,3,2,Male,33,South Africa,0,Black,5,3,5,6,4.75,1366.0,4,3,3,4,4,4,4,4,3.75,3,4,3,3,4,4,2,3,3.25,0.40277777777777773,0.2569444444444445,0.41666666666666663,0.75,0.75,-0.75,4.25,3.75,81.71549999999999,Obesity
17,3,2,Male,35,Israel,2,White,4,6,4,5,4.75,679.0,4,2,1,1,4,3,4,4,2.875,5,4,4,3,2,3,4,2,3.375,0.34722222222222215,0.3986111111111111,0.5833333333333334,0.0,0.25,0.0,3.5,4.0,47.47575,Obesity
18,3,2,Female,25,South Africa,0,Black,7,1,7,7,5.5,832.0,3,4,4,4,5,5,5,3,4.125,4,5,4,4,4,5,3,5,4.25,0.4027777777777778,0.4277777777777778,0.3333333333333333,1.0,0.5,0.75,4.75,4.0,56.813750000000006,Obesity
19,3,2,Female,36,South Africa,2,White,5,6,5,5,5.25,555.0,4,3,2,4,4,4,3,4,3.5,4,4,5,4,4,4,4,4,4.125,0.41666666666666663,0.4388888888888889,0.49999999999999994,0.0,0.0,-0.25,3.75,3.5,41.4285,Obesity
20,2,0,Female,36,United Kingdom,2,White,7,7,7,7,7.0,552.0,5,5,5,5,5,5,4,5,4.875,5,5,5,5,5,5,5,5,5.0,0.21250000000000002,0.875,0.75,,0.0,0.75,5.0,5.0,38.8965,Obesity
21,2,0,Male,37,Poland,3,White,6,6,6,6,6.0,533.0,4,4,4,4,4,5,4,4,4.125,4,5,4,4,5,4,4,5,4.375,0.2708333333333333,0.625,0.5,0.0,0.0,0.25,4.0,4.0,38.79925000000001,Obesity
22,2,0,Male,25,Poland,2,White,5,5,4,5,4.75,645.0,3,3,3,3,3,3,3,3,3.0,4,3,3,2,3,3,3,3,3.0,0.2583333333333333,0.625,0.5,0.0,0.0,0.0,3.5,3.75,52.54625,Obesity
23,2,0,Female,24,Greece,3,White,6,5,6,6,5.75,774.0,5,5,4,4,4,5,4,4,4.375,4,4,3,3,4,4,3,4,3.625,0.2583333333333333,0.875,0.75,1.0,0.5,0.5,4.5,4.5,47.421749999999996,Obesity
24,2,0,Male,22,Estonia,0,White,6,7,6,6,6.25,797.0,5,5,3,5,5,4,5,5,4.625,5,5,5,4,3,4,4,5,4.375,0.29166666666666663,0.5,0.5,0.0,0.25,0.0,4.0,4.5,66.798,Obesity
25,2,0,Male,39,Portugal,0,White,5,4,5,5,4.75,854.0,4,4,3,4,4,3,4,4,3.75,4,5,3,3,2,3,3,4,3.375,0.2708333333333333,0.75,0.75,0.0,0.0,0.5,4.0,4.25,49.319,Obesity
26,2,0,Female,32,Poland,4,White,5,5,5,5,5.0,948.0,4,2,4,4,2,4,4,2,3.25,4,2,2,2,2,2,4,2,2.5,0.11696428571428572,0.75,0.75,0.6666666666666666,0.5,-0.25,4.25,3.75,120.40275,Obesity
27,2,0,Male,20,Portugal,0,White,4,4,3,2,3.25,1030.0,4,4,3,3,4,4,3,4,3.625,4,3,2,2,5,4,4,4,3.5,0.15625,0.625,0.5,0.6666666666666666,1.0,0.25,3.5,3.75,85.30975,Obesity
28,2,0,Female,30,South Africa,2,White,5,5,5,5,5.0,935.0,3,3,3,3,3,3,3,3,3.0,3,4,4,4,3,4,4,3,3.625,0.875,0.875,1.0,1.0,1.0,0.0,3.75,4.0,41.082,Obesity
29,2,0,Female,22,Portugal,0,White,4,5,5,5,4.75,1034.0,3,2,2,4,4,4,4,3,3.25,5,3,5,5,4,4,2,4,4.0,0.5833333333333333,0.875,0.75,0.0,0.0,0.5,2.75,3.25,65.5075,Obesity
30,2,0,Female,26,Italy,2,Mixed,5,5,4,4,4.5,1101.0,4,2,2,3,3,2,4,3,2.875,5,4,4,4,3,2,2,3,3.375,0.2107142857142857,0.875,0.75,0.0,0.0,0.25,3.5,3.75,59.127250000000004,Obesity
31,2,0,Female,42,United Kingdom,2,Mixed,6,5,6,6,5.75,1213.0,4,4,4,4,4,5,4,5,4.25,5,5,5,5,4,5,5,4,4.75,0.875,0.875,0.75,0.0,0.0,-0.25,3.75,4.0,51.053250000000006,Obesity
32,2,0,Female,24,Poland,2,White,3,4,4,4,3.75,1751.0,4,3,2,4,3,4,4,4,3.5,5,5,5,5,5,4,3,3,4.375,0.5,0.75,0.75,0.3333333333333333,0.25,0.25,3.5,4.0,63.34075,Obesity
33,2,0,Male,22,Poland,0,White,4,5,5,5,4.75,1886.0,3,4,1,1,4,4,4,3,3.0,4,4,4,2,4,3,2,4,3.375,0.5,1.0,1.0,0.6666666666666666,0.5,-0.5,3.75,3.5,69.77799999999999,Obesity
34,2,0,Female,42,Zimbabwe,4,Black,4,4,3,3,3.5,1916.0,3,2,2,3,4,3,3,2,2.75,4,3,2,2,3,2,2,2,2.5,0.30654761904761907,1.0,1.0,0.0,0.0,0.0,3.25,3.25,136.5745,Obesity
35,2,0,Female,31,United Kingdom,2,White,5,6,5,5,5.25,1101.0,4,4,4,3,4,4,3,4,3.75,4,4,4,3,4,3,4,4,3.75,0.15416666666666667,0.625,0.5,0.5,0.25,0.5,4.0,4.0,31.256999999999998,Obesity
36,2,0,Male,30,Poland,3,White,3,3,3,3,3.0,663.0,2,3,3,4,3,3,4,4,3.25,4,3,3,2,2,2,2,3,2.625,0.3625,0.625,0.5,0.6666666666666666,0.5,0.0,3.5,3.5,50.60850000000001,Obesity
37,2,0,Female,28,South Africa,2,Black,5,3,5,5,4.5,1089.0,3,3,4,3,4,3,4,3,3.375,4,5,4,4,3,2,3,3,3.5,0.13333333333333333,0.5,0.5,1.0,0.5,1.0,4.25,4.25,63.32225,Obesity
38,2,0,Female,21,Poland,0,White,6,6,6,6,6.0,1183.0,4,4,3,5,4,4,5,4,4.125,5,5,5,4,4,4,5,3,4.375,0.1919642857142857,0.875,0.75,0.3333333333333333,0.25,0.25,4.25,4.25,71.81349999999999,Obesity
39,2,0,Female,26,South Africa,3,Black,2,2,2,2,2.0,1552.0,3,3,2,2,1,2,2,3,2.25,2,2,1,2,2,1,2,3,1.875,0.12738095238095237,0.75,0.75,0.0,0.0,0.0,3.25,3.0,126.6235,Obesity
40,2,1,Female,32,United Kingdom,2,White,5,4,5,4,4.5,449.0,3,3,2,4,3,4,4,4,3.375,4,4,4,3,4,4,3,4,3.75,0.2375,0.625,0.5,0.0,0.25,0.25,3.75,3.75,38.24525,Obesity
41,2,1,Male,42,Bulgaria,0,White,4,3,3,3,3.25,577.0,4,3,3,2,3,3,4,4,3.25,4,4,4,4,4,2,3,5,3.75,0.10277777777777777,0.625,0.5,0.5,-0.75,-0.5,4.0,4.5,37.04075,Obesity
42,2,1,Female,27,South Africa,2,Asian,6,7,6,6,6.25,550.0,4,4,3,3,4,4,4,3,3.625,5,5,5,4,4,4,4,3,4.25,0.25,0.25,0.25,1.0,0.25,0.5,3.5,4.0,27.5375,Obesity
43,2,1,Male,33,Poland,2,White,3,6,3,3,3.75,583.0,2,2,1,2,5,4,3,5,3.0,5,5,5,5,5,1,4,5,4.375,0.625,0.75,0.75,0.5,0.25,0.25,3.75,4.5,37.89625,Obesity
44,2,1,Male,28,Portugal,0,Other,4,3,4,4,3.75,673.0,2,4,3,4,4,4,4,3,3.5,4,4,2,2,3,4,2,3,3.0,0.22916666666666663,1.0,1.0,1.0,0.75,-0.25,3.75,4.0,55.526250000000005,Obesity
45,2,1,Male,23,Portugal,1,White,4,3,4,4,3.75,783.0,3,3,3,3,3,3,3,3,3.0,4,3,4,4,3,3,3,3,3.375,0.75,0.75,0.75,0.3333333333333333,0.25,-0.5,3.25,3.75,44.8925,Obesity
46,2,1,Male,19,Lithuania,0,White,4,4,2,4,3.5,786.0,2,3,1,3,3,2,3,4,2.625,3,2,2,2,4,1,4,4,2.75,0.3208333333333333,1.0,1.0,0.6666666666666666,0.5,0.0,3.25,3.5,66.551,Obesity
47,2,1,Female,26,Poland,3,White,1,2,2,4,2.25,825.0,2,3,1,3,1,1,2,1,1.75,2,1,1,1,1,1,1,5,1.625,0.32291666666666663,0.75,0.75,0.5,0.5,-0.25,3.0,3.5,48.337,Obesity
48,2,1,Male,46,Greece,2,White,5,4,4,4,4.25,970.0,4,3,2,4,3,3,3,3,3.125,4,3,3,3,3,3,3,2,3.0,0.2583333333333333,0.75,0.75,0.6666666666666666,0.5,0.0,3.75,4.0,93.40425,Obesity
49,2,1,Female,23,South Africa,2,Black,5,6,4,6,5.25,1074.0,4,5,5,4,4,4,5,4,4.375,4,5,5,4,5,4,3,4,4.25,0.41666666666666663,0.875,1.0,1.0,0.5,0.5,4.5,4.25,62.43875,Obesity
50,2,1,Male,44,Portugal,2,White,5,5,5,5,5.0,1031.0,4,4,4,4,3,4,4,4,3.875,4,4,4,4,4,4,4,4,4.0,0.21666666666666667,1.0,1.0,0.6666666666666666,0.5,0.0,4.25,4.0,68.88475,Obesity
51,2,1,Male,33,South Africa,0,White,5,4,4,4,4.25,1057.0,4,3,3,3,2,3,3,2,2.875,3,3,3,3,3,3,3,3,3.0,0.2708333333333333,0.75,0.75,0.5,0.5,-0.25,3.25,3.25,74.54275,Obesity
52,2,1,Female,24,Portugal,2,White,5,4,4,5,4.5,1123.0,2,3,4,5,4,4,4,4,3.75,4,3,2,2,5,3,2,2,2.875,0.41904761904761906,0.875,0.75,0.75,0.75,0.0,4.0,3.75,71.26575,Obesity
53,2,1,Female,27,South Africa,0,Black,7,7,7,7,7.0,1184.0,4,4,4,4,4,4,5,5,4.25,5,5,5,5,5,5,5,5,5.0,0.25,0.625,0.5,1.0,0.25,0.0,4.75,4.75,71.59375,Obesity
54,2,1,Male,25,Poland,2,White,5,5,4,6,5.0,1296.0,5,4,3,4,4,3,4,4,3.875,4,2,2,2,2,3,1,2,2.25,0.1125,0.5,0.5,0.0,0.0,1.0,3.0,4.5,94.0895,Obesity
55,2,1,Male,28,Mexico,3,Mixed,6,5,6,6,5.75,1448.0,4,4,3,4,5,5,5,5,4.375,5,5,5,4,5,4,5,5,4.75,0.25,0.625,0.5,1.0,0.25,-0.25,3.75,4.0,184.09625,Obesity
56,2,1,Female,34,South Africa,1,Black,3,3,4,3,3.25,1584.0,2,2,4,2,3,2,4,2,2.625,4,2,2,2,2,3,2,2,2.375,0.0625,0.25,0.25,0.0,0.0,0.0,2.5,3.5,101.57575,Obesity
57,2,1,Female,25,Italy,0,White,5,4,5,6,5.0,374.0,2,3,3,4,3,4,4,4,3.375,5,5,4,5,5,4,4,3,4.375,0.25,0.25,0.25,0.6666666666666666,0.5,-0.25,2.75,3.25,25.825750000000003,Obesity
58,2,1,Male,39,Norway,3,White,3,5,4,4,4.0,1039.0,4,4,3,2,4,4,3,4,3.5,4,2,4,3,4,3,3,4,3.375,0.175,0.625,0.5,0.0,0.0,0.5,3.25,3.5,84.4945,Obesity
59,2,1,Female,21,Mexico,2,Mixed,5,5,5,6,5.25,1122.0,4,4,4,4,4,4,3,3,3.75,4,4,3,4,3,4,4,4,3.75,0.16666666666666666,0.375,0.25,0.0,0.0,0.5,4.5,4.5,35.91675,Obesity
60,0,0,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,4,5,3,5,4.25,504.0,3,4,2,4,5,4,3,5,3.75,4,4,5,5,5,4,4,3,4.25,0.9,0.9375,1.0,0.0,0.0,0.0,3.25,4.0,45.3835,Obesity
61,0,0,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,5,5,5,5,5.0,559.0,3,3,3,3,3,3,4,4,3.25,4,3,2,2,4,3,3,3,3.0,0.3916666666666666,0.45,0.25,0.0,-0.25,0.25,3.25,3.5,34.549,Obesity
62,0,0,Female,21,Poland,0,White,3,5,2,4,3.5,693.0,2,2,1,1,4,4,3,4,2.625,4,2,2,2,2,3,2,4,2.625,0.7499999999999999,0.4,1.0,0.3333333333333333,0.25,0.5,3.25,4.0,36.109,Obesity
63,0,0,Male,22,Latvia,0,White,3,4,2,2,2.75,705.0,1,1,1,1,4,4,4,4,2.5,4,2,1,1,4,1,2,3,2.25,0.2708333333333333,0.5125,0.5,0.0,0.0,0.25,3.0,3.0,61.01925,Obesity
64,0,0,Male,31,Poland,0,White,5,4,5,6,5.0,739.0,4,3,2,5,4,5,4,5,4.0,5,5,4,4,5,4,4,5,4.5,0.95,1.0,1.0,0.5,0.5,0.0,3.75,4.75,53.01075,Obesity
65,0,0,Male,28,Estonia,2,White,4,5,4,5,4.5,808.0,3,4,3,4,4,4,5,4,3.875,4,3,2,4,4,3,2,2,3.0,0.7916666666666666,0.5125,0.75,1.0,0.75,1.25,3.5,4.25,63.16925,Obesity
66,0,0,Male,23,Portugal,2,White,3,6,3,3,3.75,844.0,2,2,4,4,4,4,2,4,3.25,5,5,4,4,5,3,2,2,3.75,0.225,0.35,0.5,0.3333333333333333,0.25,1.0,2.5,3.5,65.52574999999999,Obesity
67,0,0,Female,30,South Africa,0,Black,7,4,7,7,6.25,877.0,5,5,5,5,5,5,5,5,5.0,5,5,5,5,4,5,5,4,4.75,0.50625,0.5375,0.25,1.0,0.25,1.0,5.0,5.0,52.167249999999996,Obesity
68,0,0,Male,33,Italy,2,White,3,3,3,4,3.25,913.0,3,4,2,2,4,3,4,4,3.25,4,4,4,3,4,4,3,5,3.875,1.0,0.55,1.0,0.0,0.0,0.5,2.75,3.75,68.699,Obesity
69,0,0,Female,22,South Africa,2,Black,5,6,5,6,5.5,1028.0,3,4,3,4,4,5,5,5,4.125,5,5,5,5,5,5,5,5,5.0,1.0,0.75,0.75,0.0,0.0,-0.5,4.0,4.25,82.8515,Obesity
70,0,0,Male,29,Nigeria,4,Black,5,5,5,6,5.25,1060.0,4,4,4,4,3,4,4,3,3.75,2,3,3,2,2,3,3,4,2.75,0.5416666666666666,0.5249999999999999,0.75,1.0,2.0,0.0,4.0,4.0,84.18875,Obesity
71,0,0,Male,42,Poland,3,White,5,5,5,5,5.0,1194.0,4,4,3,4,4,4,3,4,3.75,5,4,3,3,4,3,4,4,3.75,0.8541666666666666,0.7375,0.75,0.5,0.25,-0.25,3.75,4.25,81.126,Obesity
72,0,0,Male,37,Estonia,3,White,5,5,5,6,5.25,1558.0,4,4,3,3,4,3,4,4,3.625,4,4,4,3,3,3,3,3,3.375,0.25,0.1,0.25,0.0,0.25,-0.25,3.75,4.0,32.946999999999996,Obesity
73,0,0,Male,27,South Africa,2,Black,6,6,6,5,5.75,1620.0,4,4,5,4,5,4,5,4,4.375,5,5,5,4,4,4,4,5,4.5,0.3583333333333333,0.4625,0.5,0.0,0.0,0.5,4.25,4.75,107.28275,Obesity
74,0,0,Male,27,South Africa,2,Black,5,5,5,5,5.0,1829.0,4,4,4,4,4,4,4,4,4.0,4,4,3,3,4,4,4,3,3.625,0.5761904761904761,0.825,0.75,0.5,0.25,0.25,3.5,4.0,112.62825000000001,Obesity
75,0,0,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,3,2,3,3,2.75,1792.0,4,4,3,2,3,4,4,4,3.5,3,4,3,2,2,3,2,1,2.5,0.3928571428571428,0.7250000000000001,0.75,0.0,0.0,0.25,3.75,4.75,157.1975,Obesity
76,0,0,Female,26,South Africa,0,Black,7,5,6,6,6.0,1906.0,4,4,3,4,5,5,4,4,4.125,4,4,3,4,5,3,5,4,4.0,0.2375,0.2875,0.5,0.25,0.25,0.0,3.75,4.0,26.085250000000002,Obesity
77,0,0,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,6,6,6,6,6.0,1661.0,4,5,4,4,5,5,4,4,4.375,5,4,4,3,4,4,5,4,4.125,0.5472222222222223,1.0,1.0,1.0,0.5,0.0,4.25,4.25,66.6945,Obesity
78,0,0,Male,36,Portugal,3,White,6,6,5,5,5.5,2865.0,5,5,5,4,3,4,4,4,4.25,4,5,4,3,4,3,3,4,3.75,0.32519841269841265,0.575,1.0,0.3333333333333333,0.25,-0.25,3.75,3.75,120.74650000000001,Obesity
79,0,0,Male,24,Portugal,3,Mixed,4,3,4,5,4.0,593.0,4,3,3,4,2,3,4,3,3.25,2,4,3,2,2,3,2,2,2.5,0.875,0.46249999999999997,1.0,0.3333333333333333,0.25,-0.5,3.5,3.75,40.54125,Obesity
80,0,1,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,5,4,4,5,4.5,342.0,5,5,4,4,4,5,5,5,4.625,5,5,5,4,5,5,5,5,4.875,0.4583333333333333,0.5,0.25,1.0,1.0,0.5,4.5,4.25,31.683750000000003,Obesity
81,0,1,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,5,6,5,5,5.25,578.0,4,4,4,5,4,4,5,5,4.375,5,5,5,4,5,4,4,5,4.625,0.875,0.5125,1.0,0.5,0.25,0.25,4.5,4.25,42.02975,Obesity
82,0,1,Female,20,United Kingdom,0,White,5,5,4,6,5.0,516.0,4,3,2,3,2,4,5,5,3.5,5,4,5,5,5,3,4,4,4.375,0.7357142857142858,0.825,0.75,1.0,0.5,-0.5,4.0,4.0,45.8645,Obesity
83,0,1,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,5,6,5,5,5.25,642.0,3,3,2,4,4,4,4,4,3.5,4,5,4,4,4,4,3,5,4.125,0.8875,0.8,1.0,0.0,0.0,0.25,3.75,4.0,52.545,Obesity
84,0,1,Female,18,Poland,0,White,4,3,3,4,3.5,604.0,2,2,1,1,2,3,2,1,1.75,5,5,5,5,5,3,5,5,4.75,0.95,1.0,1.0,0.25,0.25,-0.25,2.5,5.0,63.125249999999994,Obesity
85,0,1,Male,22,Spain,0,White,6,6,5,6,5.75,644.0,5,3,2,4,4,4,4,4,3.75,4,4,3,4,4,4,5,2,3.75,0.3125,0.35,0.0,0.5,0.5,-0.25,3.5,3.5,45.2775,Obesity
86,0,1,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,3,3,2,2,2.5,786.0,2,3,2,2,2,2,4,4,2.625,4,2,4,2,4,4,2,4,3.25,0.7916666666666666,0.6625000000000001,1.0,0.3333333333333333,0.5,0.5,2.5,3.75,65.28475,Obesity
87,0,1,Female,21,South Africa,0,Black,6,5,6,5,5.5,837.0,5,4,5,5,5,5,5,5,4.875,5,4,5,5,5,4,4,5,4.625,0.5583333333333333,0.7250000000000001,0.75,1.0,0.25,0.25,5.0,5.0,56.295500000000004,Obesity
88,0,1,Female,27,South Africa,0,Black,5,6,6,6,5.75,813.0,4,5,5,5,4,5,4,4,4.5,4,5,4,5,4,5,4,3,4.25,0.5125,0.625,0.5,0.3333333333333333,0.25,-0.25,4.25,4.0,36.685,Obesity
89,0,1,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,5,5,4,5,4.75,891.0,4,4,4,4,4,4,4,4,4.0,4,3,4,3,4,2,3,4,3.375,0.6791666666666667,0.75,1.0,1.0,0.5,-0.5,4.0,4.0,72.75475,Obesity
90,0,1,Male,21,Mexico,0,White,6,5,5,6,5.5,957.0,4,4,2,4,4,3,4,3,3.5,4,3,4,4,4,2,4,3,3.5,0.5833333333333334,0.8875,1.0,0.0,0.0,0.25,4.5,5.0,45.90475000000001,Obesity
91,0,1,Female,25,South Africa,1,Black,5,4,5,5,4.75,1020.0,5,4,4,4,4,4,5,4,4.25,5,5,5,5,5,5,5,5,5.0,0.3333333333333333,0.45,0.5,0.3333333333333333,0.25,-0.25,4.0,4.5,73.072,Obesity
92,0,1,Prefer not to say,20,South Africa,0,Black,3,1,4,3,2.75,1022.0,5,4,3,3,4,4,4,2,3.625,5,3,5,4,4,3,2,3,3.625,0.6666666666666666,0.5,0.5,0.0,0.0,0.0,4.0,4.25,69.285,Obesity
93,0,1,Female,20,Mexico,2,Other,5,6,6,6,5.75,1094.0,4,4,4,4,5,5,4,5,4.375,4,4,5,5,5,4,4,4,4.375,0.4375,0.575,0.5,0.6666666666666666,0.5,0.25,4.0,4.0,83.47975,Obesity
94,0,1,Male,21,South Africa,0,Black,5,3,3,6,4.25,1029.0,5,5,5,5,3,5,4,5,4.625,5,5,4,4,5,5,5,5,4.75,0.8166666666666667,0.8375,0.75,0.3333333333333333,0.25,-0.5,3.25,3.5,62.02225,Obesity
95,0,1,Male,52,Italy,3,White,5,5,5,5,5.0,791.0,4,4,3,4,4,4,1,3,3.375,5,5,5,4,5,4,4,5,4.625,0.41666666666666663,0.4125,0.5,1.0,0.75,0.5,4.25,4.25,63.67225,Obesity
96,0,1,Male,28,Norway,0,White,4,5,4,5,4.5,1093.0,3,4,1,4,2,4,3,3,3.0,4,2,2,1,4,3,1,3,2.5,0.75,0.4625,0.5,0.3333333333333333,0.25,0.0,3.5,3.25,100.15025,Obesity
97,0,1,Male,25,Poland,3,White,3,3,2,5,3.25,1605.0,4,3,2,4,2,4,4,4,3.375,4,2,4,4,4,4,2,1,3.125,0.95,1.0,1.0,0.3333333333333333,0.25,-0.25,2.75,3.75,117.80349999999999,Obesity
98,0,1,Male,24,Portugal,0,White,4,4,4,4,4.0,1803.0,3,3,3,3,3,3,3,3,3.0,3,3,3,3,3,3,3,3,3.0,1.0,0.2875,0.0,0.75,0.75,0.25,4.0,3.25,50.89274999999999,Obesity
99,0,1,Male,33,Spain,2,White,6,6,6,6,6.0,2310.0,5,5,4,5,4,4,5,5,4.625,5,5,5,5,5,5,5,5,5.0,0.4125,0.3375,0.75,0.0,0.0,0.0,4.5,4.5,180.40425000000002,Obesity
100,1,0,Female,20,United Kingdom,0,White,4,5,4,5,4.5,438.0,2,3,4,4,4,4,4,4,3.625,5,4,4,3,3,3,3,3,3.5,1.0,0.4333333333333333,0.5,0.0,0.0,0.0,3.5,4.5,37.99725,Obesity
101,1,0,Female,25,South Africa,2,Mixed,5,4,5,4,4.5,601.0,2,2,3,2,3,3,4,4,2.875,4,5,4,4,4,4,3,3,3.875,1.0,0.2583333333333333,0.75,1.0,0.75,0.75,4.25,4.5,35.582499999999996,Obesity
